speed,rpm,fuel,lat,lon,throttle,temp,timestamp
1,837,99.92,3.236569,5.872169,0,20.59,2025-12-16T20:40:01.337107
1,843,99.9,3.236586,5.872186,0,20.41,2025-12-16T20:40:01.437410
4,879,99.88,3.236572,5.872172,4,20.82,2025-12-16T20:40:01.538112
2,862,99.85,3.23659,5.87219,9,20.84,2025-12-16T20:40:01.639388
2,904,99.8,3.236651,5.872251,9,21.14,2025-12-16T20:40:01.740149
2,863,99.76,3.236698,5.872298,13,21.32,2025-12-16T20:40:01.841089
3,874,99.73,3.236732,5.872332,10,21.65,2025-12-16T20:40:01.941975
2,974,99.71,3.236711,5.872311,9,21.79,2025-12-16T20:40:02.042467
1,976,99.68,3.23672,5.87232,12,21.9,2025-12-16T20:40:02.142839
2,969,99.65,3.236627,5.872227,10,22.32,2025-12-16T20:40:02.243831
5,1025,99.63,3.236578,5.872178,12,22.29,2025-12-16T20:40:02.344946
4,1020,99.59,3.236585,5.872185,10,22.39,2025-12-16T20:40:02.445828
3,1015,99.55,3.236543,5.872143,10,22.74,2025-12-16T20:40:02.547076
5,1059,99.52,3.236607,5.872207,5,22.71,2025-12-16T20:40:02.648094
4,1073,99.51,3.236616,5.872216,2,23.03,2025-12-16T20:40:02.749101
5,1101,99.46,3.236649,5.872249,0,23.23,2025-12-16T20:40:02.850227
7,1170,99.45,3.236689,5.872289,1,23.58,2025-12-16T20:40:02.950845
10,1120,99.41,3.23666,5.87226,0,24.02,2025-12-16T20:40:03.051495
13,1099,99.38,3.236738,5.872338,0,23.96,2025-12-16T20:40:03.152296
15,1103,99.36,3.236733,5.872333,5,24.02,2025-12-16T20:40:03.253165
16,1087,99.31,3.236667,5.872267,7,24.02,2025-12-16T20:40:03.353863
14,1186,99.28,3.236695,5.872295,10,24.24,2025-12-16T20:40:03.454728
16,1283,99.26,3.236694,5.872294,5,24.53,2025-12-16T20:40:03.555724
17,1254,99.25,3.236733,5.872333,6,24.69,2025-12-16T20:40:03.656585
18,1333,99.22,3.236635,5.872235,4,25.12,2025-12-16T20:40:03.757520
20,1324,99.2,3.236711,5.872311,4,25.45,2025-12-16T20:40:03.858367
19,1364,99.19,3.236799,5.872399,8,25.81,2025-12-16T20:40:03.959526
18,1386,99.16,3.236733,5.872333,8,25.65,2025-12-16T20:40:04.060325
17,1358,99.12,3.236655,5.872255,5,26.13,2025-12-16T20:40:04.161438
16,1308,99.09,3.236607,5.872207,9,26.26,2025-12-16T20:40:04.262456
19,1339,99.07,3.236552,5.872152,5,26.69,2025-12-16T20:40:04.363334
18,1401,99.03,3.236494,5.872094,7,27.14,2025-12-16T20:40:04.464363
19,1462,98.99,3.236586,5.872186,8,27.44,2025-12-16T20:40:04.565068
18,1439,98.95,3.236541,5.872141,9,27.79,2025-12-16T20:40:04.666244
21,1512,98.93,3.236537,5.872137,5,27.62,2025-12-16T20:40:04.767246
19,1577,98.89,3.236471,5.872071,5,28.08,2025-12-16T20:40:04.868284
20,1598,98.87,3.236421,5.872021,7,28.45,2025-12-16T20:40:04.969581
21,1559,98.82,3.236353,5.871953,12,28.92,2025-12-16T20:40:05.070567
22,1534,98.78,3.236427,5.872027,11,29.27,2025-12-16T20:40:05.171593
23,1498,98.77,3.236343,5.871943,6,29.64,2025-12-16T20:40:05.272403
24,1595,98.73,3.23639,5.87199,5,29.78,2025-12-16T20:40:05.373413
27,1624,98.7,3.236416,5.872016,4,30.18,2025-12-16T20:40:05.474534
27,1646,98.65,3.236362,5.871962,7,30.36,2025-12-16T20:40:05.575664
27,1655,98.63,3.236459,5.872059,8,30.41,2025-12-16T20:40:05.676454
27,1706,98.6,3.236508,5.872108,11,30.87,2025-12-16T20:40:05.777666
29,1795,98.55,3.236501,5.872101,12,30.76,2025-12-16T20:40:05.878453
28,1756,98.54,3.236407,5.872007,13,31.24,2025-12-16T20:40:05.979601
27,1823,98.49,3.236466,5.872066,11,31.29,2025-12-16T20:40:06.080880
26,1792,98.48,3.236383,5.871983,11,31.38,2025-12-16T20:40:06.181491
24,1835,98.43,3.236456,5.872056,8,31.76,2025-12-16T20:40:06.282384
22,1912,98.39,3.236507,5.872107,12,31.76,2025-12-16T20:40:06.383719
23,1987,98.36,3.236437,5.872037,14,31.93,2025-12-16T20:40:06.484582
22,2040,98.31,3.23638,5.87198,13,31.78,2025-12-16T20:40:06.585394
22,2044,98.26,3.236436,5.872036,14,31.69,2025-12-16T20:40:06.685963
21,2085,98.25,3.23645,5.87205,9,32.03,2025-12-16T20:40:06.786837
22,2035,98.2,3.236466,5.872066,7,32.36,2025-12-16T20:40:06.887659
23,2053,98.17,3.236518,5.872118,3,32.56,2025-12-16T20:40:06.988684
24,2127,98.14,3.236442,5.872042,0,32.61,2025-12-16T20:40:07.089746
24,2156,98.11,3.236467,5.872067,3,32.6,2025-12-16T20:40:07.190767
25,2244,98.09,3.236428,5.872028,0,32.7,2025-12-16T20:40:07.291337
24,2245,98.07,3.236404,5.872004,0,32.74,2025-12-16T20:40:07.392024
27,2234,98.02,3.236439,5.872039,0,33.01,2025-12-16T20:40:07.493010
27,2323,98.0,3.236437,5.872037,3,32.98,2025-12-16T20:40:07.594138
26,2419,97.98,3.236344,5.871944,0,32.92,2025-12-16T20:40:07.695102
25,2486,97.96,3.236325,5.871925,0,32.79,2025-12-16T20:40:07.796100
24,2557,97.94,3.236368,5.871968,0,32.7,2025-12-16T20:40:07.896965
22,2627,97.93,3.236416,5.872016,5,32.73,2025-12-16T20:40:07.998195
20,2685,97.88,3.236507,5.872107,2,32.61,2025-12-16T20:40:08.098881
23,2651,97.83,3.23658,5.87218,0,32.65,2025-12-16T20:40:08.199671
23,2643,97.8,3.236547,5.872147,4,32.68,2025-12-16T20:40:08.300534
21,2650,97.77,3.236529,5.872129,9,33.12,2025-12-16T20:40:08.401177
20,2719,97.73,3.236536,5.872136,13,33.46,2025-12-16T20:40:08.502195
22,2740,97.72,3.236484,5.872084,12,33.42,2025-12-16T20:40:08.603334
25,2702,97.67,3.236467,5.872067,10,33.74,2025-12-16T20:40:08.704228
28,2686,97.62,3.236529,5.872129,8,33.68,2025-12-16T20:40:08.805306
27,2775,97.58,3.236543,5.872143,3,33.78,2025-12-16T20:40:08.906524
26,2787,97.55,3.236564,5.872164,1,34.2,2025-12-16T20:40:09.007491
24,2792,97.53,3.236613,5.872213,0,34.53,2025-12-16T20:40:09.108266
26,2870,97.49,3.236603,5.872203,0,34.78,2025-12-16T20:40:09.209438
26,2903,97.46,3.23652,5.87212,0,35.03,2025-12-16T20:40:09.310289
28,2959,97.42,3.236552,5.872152,0,35.07,2025-12-16T20:40:09.411426
26,2955,97.39,3.236602,5.872202,3,35.26,2025-12-16T20:40:09.512440
28,2917,97.38,3.236694,5.872294,8,35.08,2025-12-16T20:40:09.613328
29,2888,97.35,3.236787,5.872387,13,35.17,2025-12-16T20:40:09.714274
28,2971,97.34,3.236698,5.872298,10,35.58,2025-12-16T20:40:09.814890
26,2979,97.3,3.236716,5.872316,9,35.59,2025-12-16T20:40:09.915922
26,3041,97.28,3.236693,5.872293,5,35.68,2025-12-16T20:40:10.016576
28,3031,97.25,3.236669,5.872269,7,35.52,2025-12-16T20:40:10.117501
29,2992,97.2,3.236569,5.872169,5,35.86,2025-12-16T20:40:10.218316
32,2954,97.17,3.236558,5.872158,4,35.98,2025-12-16T20:40:10.319005
31,2909,97.13,3.236494,5.872094,0,36.39,2025-12-16T20:40:10.420041
30,2877,97.11,3.236471,5.872071,0,36.53,2025-12-16T20:40:10.520957
30,2885,97.07,3.236502,5.872102,4,36.77,2025-12-16T20:40:10.622009
33,2895,97.03,3.236497,5.872097,2,36.68,2025-12-16T20:40:10.722989
35,2982,96.98,3.236405,5.872005,4,36.93,2025-12-16T20:40:10.824341
33,3044,96.96,3.236317,5.871917,8,37.29,2025-12-16T20:40:10.925187
36,3126,96.95,3.236256,5.871856,7,37.75,2025-12-16T20:40:11.026524
39,3125,96.92,3.236343,5.871943,11,37.82,2025-12-16T20:40:11.127488
39,3102,96.88,3.23633,5.87193,13,37.99,2025-12-16T20:40:11.227954
39,3146,96.84,3.236428,5.872028,13,37.85,2025-12-16T20:40:11.328666
40,3161,96.8,3.236519,5.872119,13,38.33,2025-12-16T20:40:11.429444
41,3179,96.76,3.23653,5.87213,13,38.68,2025-12-16T20:40:11.530832
40,3233,96.72,3.236487,5.872087,10,39.13,2025-12-16T20:40:11.632008
39,3315,96.68,3.236555,5.872155,12,39.24,2025-12-16T20:40:11.733021
42,3336,96.66,3.236623,5.872223,13,39.22,2025-12-16T20:40:11.833913
45,3368,96.64,3.23663,5.87223,14,39.69,2025-12-16T20:40:11.934331
48,3441,96.61,3.236606,5.872206,17,39.98,2025-12-16T20:40:12.035067
47,3391,96.57,3.236577,5.872177,18,39.92,2025-12-16T20:40:12.136140
46,3420,96.55,3.236545,5.872145,15,40.09,2025-12-16T20:40:12.236986
47,3399,96.51,3.236619,5.872219,16,39.95,2025-12-16T20:40:12.338395
45,3405,96.5,3.23655,5.87215,13,39.9,2025-12-16T20:40:12.439264
44,3462,96.47,3.236524,5.872124,13,40.07,2025-12-16T20:40:12.540516
43,3420,96.42,3.236472,5.872072,9,40.35,2025-12-16T20:40:12.641423
46,3449,96.39,3.236488,5.872088,9,40.85,2025-12-16T20:40:12.742464
48,3462,96.36,3.236544,5.872144,9,41.26,2025-12-16T20:40:12.843169
50,3468,96.35,3.236545,5.872145,11,41.07,2025-12-16T20:40:12.944020
52,3427,96.31,3.236639,5.872239,16,41.25,2025-12-16T20:40:13.044899
53,3405,96.27,3.236559,5.872159,18,41.29,2025-12-16T20:40:13.146092
54,3425,96.25,3.236651,5.872251,22,41.28,2025-12-16T20:40:13.246993
